mtime,stream_id,AR,B,BE,BF,CN,CR,DQ,FQ,HV,PT
2021-11-01T00:00,AB,23889,8455,4726,8707,3506,6325,19055,774,907,9605
2021-11-01T00:00,Ax,22943,4068,839,4731,9212,7820,1680,7048,8807,3574
2021-11-01T00:00,BF,33093,6090,4416,10141,1293,17183,2151,15567,14705,11528
2021-11-01T00:00,Bx,6271,23899,14047,12365,3568,11151,30253,13018,8450,151
2021-11-01T00:00,C8,10567,23680,821,11158,8898,3985,751,13649,9467,12421
2021-11-01T00:00,CL,10642,5182,11432,9678,7784,13482,21151,2034,8733,10925
2021-11-01T00:00,Ct,19798,16865,2074,6080,3767,7422,11282,12535,5384,4158
2021-11-01T00:00,Cx,32406,27845,1813,16387,4900,20159,21735,3315,7334,17941
2021-11-01T00:00,E2,12809,7068,162,8999,9774,4366,29898,12883,12814,2124
2021-11-01T00:00,E5,4190,27973,18062,226,19599,24587,35821,11666,1873,8830
2021-11-01T00:00,EF,11654,28124,17414,9477,23,28440,4330,11515,13306,1434
2021-11-01T00:00,EM,696,466,10658,4958,12405,2016,854,10338,8331,2533
2021-11-01T00:00,EY,1081,5797,2386,11208,16609,11001,21557,7094,3994,5818
2021-11-01T00:00,Ea,16062,2682,6523,4484,14825,12617,1320,9749,8198,9045
2021-11-01T00:00,Eb,16723,15362,13500,12622,2860,24654,18196,20026,2371,86
2021-11-01T00:00,Es,24356,5929,2186,6619,10578,11097,30661,16339,10158,17631
2021-11-01T00:00,F1,3195,32830,17111,596,13472,12390,28421,18643,12031,19894
2021-11-01T00:00,FR,4742,5623,2449,5237,14814,5368,22991,3187,1161,4268
2021-11-01T00:00,Gm,10416,5818,11354,9999,738,16155,4830,11382,1536,9506
2021-11-01T00:00,Hk,7385,16339,13902,9783,3567,12917,13783,285,1098,1763
2021-11-01T00:00,Hl,15434,26775,11762,14961,820,4209,40578,12782,227,19737
2021-11-01T00:00,I1,36220,11451,13987,2419,7001,12783,25339,5676,12493,18029
2021-11-01T00:00,JZ,5722,18541,694,3320,557,1023,18109,10793,14470,9757
2021-11-01T00:00,Jl,17794,1869,11622,15577,7959,11890,17745,14966,10722,5913
2021-11-01T00:00,KO,20099,2832,11656,1537,18107,25193,27108,9703,2503,11335
2021-11-01T00:00,Kf,14908,11740,7407,11343,2453,6380,7241,2266,9535,12285
2021-11-01T00:00,L1,21818,19409,11152,7262,8698,17883,26843,9424,5145,4068
2021-11-01T00:00,LM,15722,16102,12265,11999,13691,8051,26263,222,12179,13720
2021-11-01T00:00,Mf,4649,16326,4392,7971,6670,30625,5210,4185,19610,14328
2021-11-01T00:00,Ms,2477,22793,4172,1241,4773,7159,10254,2949,6131,6474
2021-11-01T00:00,NX,14491,1977,2969,9628,1454,7120,4929,10662,3792,3432
2021-11-01T00:00,Na,25948,5940,14544,12794,8011,17168,11811,1837,15881,9803
2021-11-01T00:00,Nt,17679,8675,10735,4095,6826,5440,292,2222,11269,5254
2021-11-01T00:00,O3,21341,768,17518,6965,20867,23801,1082,19868,19572,2234
2021-11-01T00:00,O8,24291,8957,506,12067,2563,1467,6498,4992,12704,5352
2021-11-01T00:00,Oi,29688,2095,10092,9632,13060,8144,17027,4689,11524,10753
2021-11-01T00:00,Or,12625,7384,453,8758,11288,25680,29690,15445,6459,9023
2021-11-01T00:00,Os,15799,31700,8952,16074,2218,18526,32666,21586,15601,6488
2021-11-01T00:00,PV,10886,21338,5423,618,5337,2037,12868,7791,4339,10374
2021-11-01T00:00,Pc,37886,4218,5192,13248,21680,5414,38951,6043,14176,17785
2021-11-01T00:00,Pu,17761,16492,12371,9458,5020,6835,6501,15298,5402,9189
2021-11-01T00:00,Q6,21963,488,2179,542,16621,14871,12838,1116,5608,9678
