site_name,bandwidth
12,1659684
28,497887
A9,1188382
AI,1310919
AK,1718082
Am,1724504
Av,1392152
BL,1073490
Bv,1875839
C2,1469030
CF,928469
CU,1677260
Dc,1834105
ET,1381399
Eb,1294650
Ec,1094082
Ed,1273105
Eh,1484167
FI,2310432
FM,2223514
Fs,1438169
GX,1239892
Gc,1488639
Hv,1784874
IM,1591522
Im,1790547
Jo,1288727
Jv,1331810
Ka,2022102
L8,1444855
La,2256972
M1,1502037
M5,1167637
M6,1903149
M7,1257574
MU,1295327
Mg,999472
Mh,1418850
NR,1053480
Nt,1082274
Nz,1506847
P9,1321667
Pd,1220807
Pi,1928049
Q7,1154405
QR,908185
Qu,1254165
RW,1462812
T8,1438287
T9,1433704
TY,1992817
U5,1922109
U9,1927007
Uf,1875629
Uh,1985147
Wz,1140332
Xf,1552134
Yc,897249
Yf,1317890
Yj,1400539
Yt,2025192
Zx,1139649
a1,1256134
ad,1174755
as,1270057
b3,866180
bs,864227
co,1666017
d2,1700015
do,1758172
ej,1608845
f1,1301169
gk,1460734
gw,1415369
h2,1174915
in,1652474
k7,1366319
k9,1720900
kq,1307605
l6,1394995
lo,892435
m4,1664182
n7,1076124
no,1572157
o6,1591650
o7,1225690
ou,1559835
p1,1997207
p6,1219075
q3,811222
rt,1656925
rw,1787315
sv,675525
t3,2103495
ty,1632284
v1,1477264
v4,1922147
vz,1749817
x1,1380409
xy,1347937
